source_row_number,Reference,PubYear,Family,Genus,species,Genus species,Monocot/Dicot/Gymno,"Lform(0=ann,1=Hper,2=Wper)","Pollination(0=anim,1=wind,2=water)",MarkerType,nMarkers,"PopType (0=natural, 1= experimental, 2=seed orchard, 3=agricultural)",nPops(t),Mean-tm,Mean ts,Upper-tm,Where-t,nPops(F),Mech of selfing,Use for t & F?,Mean-F,Lower-F,Upper-F,Where-F,Reference.1
422,"Klekowski et al. 1994, Lowenfeld & Klekowski 1992","1994, 1992",Rhizophoraceae,Rizophora,mangle,Rizophora  mangle,D,2,0,M,1,0,2,0.16799999999999998,0.048,0.288,"Results, Results",,,0,,,,,Species summary
423,Sun et al. 1998,1998,Rhizophoraceae,Kandelia,candel,Kandelia candel,D,2,0,I,,0,2,0.747,0.697,0.797,Table 1,2,,1,-0.029,-0.17,0.112,Table 1 (F of maternal parents),"Sun M, Wong KC, JSY Lee. 1998. Reproductive biology and population genetic structure of Kandelia candel (Rhizophoraceae), a viviparous mangrove species. Am J Bot 85:1631-1637"
424,Gomory & Paule 2001,2001,Rosaceae,Prunus,avium,Prunus avium,D,2,0,I,,0,1,0.949,,,Abstract,,,0,,,,,"Gomory, D., and L. Paule. 2001. Spatial structure and mating system in wild cherry (Prunus avium) population. Biologia 56:117-123."
425,Weidema et al. 2000,2000,Rosaceae,Filipendula,vulgaris,Filipendula vulgaris,D,1,0,I &M,,0,17,0.96,,,Results (av outcrossing rate for field-collected offspring),17,,1,0.0611,-0.0148,0.1336,Table 2 (FIT),"Weidema IR, Magnussen LS, M Philipp. 2000. Gene flow and mode of pollination in a dry-grassland species, Filipendula vulgaris (Rosaceae). Heredity 84:311-320"
426,Pérez-Nasser et al. 1993,1993,Rubiaceae,Psychotria,faxucens,Psychotria  faxucens,D,2,0,I,6,0,2,1.0165,1.008,1.025,Table 6 (range for multi-locus estimate),2,,1,0.0745,0.029,0.12,Table 4 (mean FIT of adults and seedlings),"Pérez-Nasser N, Eugiarte LE, D Piñero. 1993. Mating system and genetic structure of the distylous tropical tree Psychotria faxlucens (Rubiaceae). Am J Bot 80(1):45-52"
427,Allard et al. 1977,1977,Scrophulariaceae,Collinsia,sparsiflora,Collinsia  sparsiflora,D,0,0,I,,0,2,0.42,0,0.84,??,,,0,,,,,"Allard, R. W., A. L. Kahler, and M. T. Clegg. 1977. Estimation of mating cycle components of selection in plants. Pp. 1-19 in F. B. Christiansen and T. M. Fenchel, eds. Measuring Selection in Natural Populations. Springer-Verlag, Berlin."
428,"Pérez-Nasser et al. 1993, Allard et al. 1977",1977,Scrophulariaceae,Collinsia,sparsiflora,Collinsia  sparsiflora,D,0,0,I,,0,4,0.7182499999999999,0,0.84,"Table 6 (range for multi-locus estimate), ??",,,0,,,,,Species summary
429,Charlesworth & Mayer 1995,1995,Scrophulariaceae,Collinsia,heterophylla,Collinsia  heterophylla,D,0,0,I,,0,4,0.505,0.32,0.64,Table 2,,auton,0,,,,,"Charlesworth, D., and S. Mayer. 1995. Genetic variability of plant characters in the partial inbreeder Collinsia heterophylla (Scrophulariaceae). American Journal of Botany 82:112-120."
430,Dole & Ritland 1993,1993,Scrophulariaceae,Mimulus,guttatus,Mimulus  guttatus,D,1,0,I,7,0,1,0.371,0.29700000000000004,0.43200000000000005,Table 2 (range for multilocus estimate),1,,0,0.168,0.114,0.281,Table 2 (mean estimate of F),"Dole J, K Ritland. 1993. Inbreeding depression in two Mimulus taxa measured by multigenerational changes in the inbreeding coefficient. Evolution 47(2):361-373"
431,Dole & Ritland 1993,1993,Scrophulariaceae,Mimulus,platycalyx,Mimulus  platycalyx,D,0,0,I,7,0,1,0.156,0.078,0.203,Table 2 (range for multilocus estimate),1,,1,0.543,0.497,0.599,Table 2 (mean estimate of F),"Dole J, K Ritland. 1993. Inbreeding depression in two Mimulus taxa measured by multigenerational changes in the inbreeding coefficient. Evolution 47(2):361-373"
432,Dudash & Carr 1998,1998,Scrophulariaceae,Mimulus,guttatus,Mimulus guttatus,D,1,0,I,,0,3,0.74,0.68,0.8,Results,,,0,,,,,"Dudash MR, DE Carr. 1998. Genetics underlying inbreeding depression in Mimulus with contrasting mating systems. Nature 393:682-684"
433,Dudash & Carr 1998,1998,Scrophulariaceae,Mimulus,micranthus,Mimulus micranthus,D,0,0,I,,0,1,0.16,,,Results,,,0,,,,,"Dudash MR, DE Carr. 1998. Genetics underlying inbreeding depression in Mimulus with contrasting mating systems. Nature 393:682-684"
434,"Dudash & Carr 1998, Dudash & Carr 1998","1998, 1998",Scrophulariaceae,Mimulus,micranthus,Mimulus micranthus,D,0,0,I&U,,0,2,0.595,0.16,0.264,"Results, Results",,,0,,,,,Species summary
435,Dudash & Ritland 1991,1991,Scrophulariaceae,Mimulus,guttatus,Mimulus guttatus,D,1,0,I,6,0,3,0.74,0.69,0.8,Table 5,,,0,,,,,"Dudash, M., and K. M. Ritland. 1991. Multiple paternity and self-fertilization in relation to floral age in Mimulus guttatus (Scrophulariaceae). American Journal of Botany 78:1746-1753."
436,Kahler(in Schemske & Lande1985),1985,Scrophulariaceae,Collinsia,sparsiflora,Collinsia  sparsiflora,D,0,0,I,,0,2,0.42,0,0.84,??,,,0,,,,,"Schemske, D. W., and R. Lande. 1985. The evolution of self-fertilization and inbreeding depression in plants. II. Empirical observations. Evolution 39:41-52."
437,Kalisz et al. 2004,2004,Scrophulariaceae,Collinsia,verna,Collinsia  verna,D,0,0,I,5,0,3,0.9049,0.8566,0.9914,Fig. 2,3,,1,0.032,-0.04,0.123,Unpublished,"Kalisz, S., D. W. Vogler, and K. M. Hanle. 2004. Context-dependent autonomous self-fertilization yields reproductive assurance and mixed mating. Nature"
438,Karron et al. 1995,1995,Scrophulariaceae,Mimulus,ringens,Mimulus  ringens,D,1,0,I,,0,1,0.225,0.15,0.34,Fig 1 (approximate values) - range from past database,,,0,,,,,"Karron JD, Thumser NN, Tucker R, AJ Hessenauer. 1995. The influence of population density on outcrossing rates in Mimulus ringens. Heredity 75:175-180"
439,Leclerc-Potvin & Ritland 1994,1994,Scrophulariaceae,Mimulus,guttatus,Mimulus  guttatus,D,1,0,I,8,0,1,0.726,,,Table 4 - range from past database,,,0,,,,,"LeClerc-Potvin C, K Ritland. 1994. Factors contributing to self-fertilization in Mimulus guttatus (Scrophulariaceae): a field experiment. Amer. J. Bot. 82:199-205"
440,Mimulus guttatus t,87-98,Scrophulariaceae,Mimulus,guttatus,Mimulus guttatus,D,1,0,I&M&F,,0,16,0.64348125,0.25,0.845,summary for t,,,0,,,,,Species summary
441,Mimulus guttatus t &F,87-94,Scrophulariaceae,Mimulus,guttatus,Mimulus guttatus,D,1,0,I&M&F,,0,11,0.6477,0.25,0.845,summary for t & F,,,1,0.032,,,Summary for t & F,Species summary
442,Ritland & Ganders 1987,1987,Scrophulariaceae,Mimulus,guttatus,Mimulus guttatus,D,1,0,I&M&F,8,0,5,0.52,0.34,0.72,Table 3,5,,0,0.22,0.01,0.3,Table 3,"Ritland K, FR Ganders. 1987. Crossability of Mimulus guttatus in relation to components of gene fixation. Evolution 41:772-786."
443,Ritland & Leblanc 2004,2004,Scrophulariaceae,Mimulus,laciniatus,Mimulus laciniatus,D,0,0,U,11,0,1,0.084,,,Table 6,1,,1,0.787,,,Table 6,"Ritland, K., and M. Leblanc. 2004. Mating system of four inbreeding monkeyflower (Mimulus) species revealed using 'progeny-pair' analysis of highly infortmative microsatellite markers. Plant Species Biology 19:149–157."
444,Ritland & Leblanc 2004,2004,Scrophulariaceae,Mimulus,micranthus,Mimulus micranthus,D,0,0,U,11,0,1,0.264,,,Table 6,1,,1,0.724,,,Table 6,"Ritland, K., and M. Leblanc. 2004. Mating system of four inbreeding monkeyflower (Mimulus) species revealed using 'progeny-pair' analysis of highly infortmative microsatellite markers. Plant Species Biology 19:149–157."
445,Ritland & Leblanc 2004,2004,Scrophulariaceae,Mimulus,nasutus,Mimulus nasutus,D,0,0,U,11,0,1,0.358,,,Table 6,1,,1,0.109,,,Table 6,"Ritland, K., and M. Leblanc. 2004. Mating system of four inbreeding monkeyflower (Mimulus) species revealed using 'progeny-pair' analysis of highly infortmative microsatellite markers. Plant Species Biology 19:149–157."
446,Ritland & Leblanc 2004,2004,Scrophulariaceae,Mimulus,nudatus,Mimulus nudatus,D,0,0,U,11,0,1,0.282,,,Table 6,1,,1,0.219,,,Table 6,"Ritland, K., and M. Leblanc. 2004. Mating system of four inbreeding monkeyflower (Mimulus) species revealed using 'progeny-pair' analysis of highly infortmative microsatellite markers. Plant Species Biology 19:149–157."
447,Ritland 1989,1989,Scrophulariaceae,Mimulus,guttatus,Mimulus guttatus,D,1,0,I,9,0,2,0.47,0.46,0.48,Table 5,2,,0,0.32,0.3,0.34,Table 5 (gene fixation index),"Ritland K. 1989. Correlated matings in the partial selfer, Mimulus guttatus. Evolution 43:848-859"
448,Ritland 1990,1990,Scrophulariaceae,Mimulus,guttatus,Mimulus guttatus,D,1,0,I,5,0,14,0.48,0.25,0.79,Table 1,14,,0,0.13,-0.12,0.4,Table 1,"Ritland, K. 1990. Inferences about inbreeding depression based on changes of the inbreeding coefficient. Evolution 44:1230-1241."
449,Stewart et al. 1996,1996,Scrophulariaceae,Agalinis,neoscotica,Agalinis neoscotica,D,1,0,I,2,0,2,0.4685,0.356,0.581,Table 3,2,,1,0.3075,0.032,0.583,Table 3,"Stewart, H. M., S. C. Stewart, and J. M. CanneHilliker. 1996. Mixed mating system in Agalinis neoscotica (Scrophulariaceae) with bud pollination and delayed pollen germination. International Journal of Plant Science 157:501-508."
450,Weil & Allard 1964,1964,Scrophulariaceae,Collinsia,heterophylla,Collinsia heterophylla,D,0,0,M&F,2,1,3,0.89,,,Table 7,,,0,,,,,"Weil, J., and R. W. Allard. 1964. The mating system and genetic variability in natural populations of Collinsia heterophylla. Evolution 18:515-525."
451,"Stewart et al. 1996, Weil & Allard 1964","1996, 1964",Scrophulariaceae,Collinsia,heterophylla,Collinsia  heterophylla,D,0,0,M&F&I,,0&1,7,0.7214,0.32,0.89,"Table 3, Table 7",,,0,,,,,Species summary
452,Willis 1993,1993,Scrophulariaceae,Mimulus,guttatus,Mimulus  guttatus,D,1,0,I,3,0,2,0.84,0.835,0.845,Table 1,2,,0,-0.0225,-0.1,0.055,Table 1,"Willis, J. H. 1993. Partial self-fertilization and inbreeding depression in two populations of Mimulus guttatus. Heredity 71:145–154."
453,Elle & Hare 2002,2002,Solanaceae,Datura,wrightii,Datura  wrightii,D,0,0,M,,1,1,0.265,,,Results - midpoint of range among treatments,,,0,,,,,"Elle, E., and J. D. Hare. 2002. Environmentally induced variation in floral traits affaects the mating system in Datura wrightii. Functional Ecology 16:79–88."
454,Hermautz 1991,1991,Solanaceae,Solanum,ptycanthum,Solanum  ptycanthum,D,0,0,I,1,0,6,0.0615,0.0177,0.1719,Table 1,,,0,,,,,Hermanutz L. 1991. Outcrossing in the weed Solanum ptycanthum (Solanaceae): a comparison of agrestal and ruderal populations. Amer. J. Bot. 79:419-427
455,Motten & Antonovics 1992,1992,Solanaceae,Datura,stramonium,Datura  stramonium,D,0,0,F,1,0,1,0.013,,,Table 1,,,0,,,,,"Motten, A. F., and J. Antonovics. 1992. Determinants of outcrossing rate in a predominantly self-fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 79:419–4127."
456,"Hermautz 1991, Motten & Antonovics 1992","1991, 1992",Solanaceae,Datura,stramonium,Datura  stramonium,D,0,0,F,1,0&1,2,0.05457142857142857,0.013,0.076,"Table 1, Table 1",,,0,,,,,Species summary
457,Motten & Stone 2000,2000,Solanaceae,Datura,stramonium,Datura  stramonium,D,0,0,F,1,1,1,0.076,,,Results - averaged across 3 flower classes,,,0,,,,,"Motten, A. F., and J. L. Stone. 2000. Heritability of stigma position and the effect of stigma-anther separation on outcrossing in a predominantly self-fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 87:339-347."
458,Rick et al. 1977,1977,Solanaceae,Lycopersicon,pimpinellifolium,Lycopersicon  pimpinellifolium,D,1,0,I,,1,39,0.135,0,0.4,Table 1,,,0,,,,,"Rick CM, Fobes JF, M Holle. 1977. Genetic variation in Lycopersicon pimpinellifolium: evidence of evolutionary change in mating systems. Plant Systematics and Evolution 127:139-170"
459,Alves et al. 2003,2003,Sterculiaceae,Theobroma,grandiflorum,Theobroma grandiflorum,D,2,0,U,8,0,1,1,,,Table 2,1,none,1,0.008,,,Table 2,"Alves, R. M., A. S. Arter, A. M. Sebbenn, and A. Figueira. 2003. Mating system in a natural population of Theobroma grandiflorum (Willd. ex Spreng.) Schum., by microsatellite markers. Genetics and Molecular Biology 26:373-379."
460,Franceschinelli & Bawa 2000,2000,Sterculiaceae,Helicteres,brevispira,Helicteres brevispira,D,1,0,I,6,0,4,0.5725,0.478,0.676,Table 1,4,,1,-0.1122,-0.233,0.049,Table 1,"Franceschinelli, E. V., and K. S. Bawa. 2000. The effect of ecological factors on the mating system of a South American shrub species (Helicteres brevispira). Heredity 84:116-123."
461,Knowles et al. 1987,1987,Taxodiaceae,Larix,laricina,Larix  laricina,G,2,1,I,5,0,5,0.729,0.537,0.908,Table 2 (range for multilocus estimate),5,,1,-0.068,-0.261,0.297,Table 4,"Knowles P, Furnier GR, Aleksiuk MA, DJ Perry. 1987. Significant levels of self-fertilization in natural populations of tamarack. Can J Bot 65:1087-1091"
462,Lewandowski & Burczyk 2000,2000,Taxodiaceae,Larix,decidua,Larix  decidua,G,2,1,I,3,0,1,0.675,,,Table 3,1,,0,0.021,,,Results,"Lewandowski, A., and J. Burczyk. 2000. Mating system and genetic diversity in natural populations of European larch (Larix decidua) and stone pine (Pinus cembra) located at higher elevations. Silvae Genetica 49:158-161."
463,Lewandowski et al. 1991,1991,Taxodiaceae,Larix,decidua,Larix  decidua,G,2,1,I,6,0,1,0.943,,,Abstract,1,,0,-0.02116,,,Abstract,"Lewandowski A., Burczyk J., L. Mejnartowicz. 1991. Genetic structure and the mating system in old stand of Polish larch. Silvae Genetica 40(2):75-79."
464,"Lewandowski & Burczyk 2000, Lewandowski et al. 1991","2000, 1991",Taxodiaceae,Larix,decidua,Larix  decidua,G,2,1,I,4.5,0,2,0.8089999999999999,0.675,0.943,"Table 3, Abstract",2,,1,-8.000000000000021e-05,,,"Results, Abstract",Species summary
465,Medrano et al. 2005,2005,Thymelaeaceae,Daphne,laureola,Daphne laureola,D,2,0,I,3,0,5,0.348,0.228,0.428,Table 2,5,,1,0.28,0.12,0.65,Fig. 1,"Medrano, M., C. Alonso, and C. M. Herrera. 2005. Mating system, sex ratio, and persistence of females in the gynodioecious shrub Daphne laureola L. (Thymelaeaceae). Heredity 94:37–43."
466,Barrett & Shore 1987,1987,Turneraceae,Turnera,ulmifolia elegans,Turnera  ulmifolia elegans,D,1,0,I,1,0,1,1.07,,,Results,,auton,0,,,,,"Barrett SCH, JS Shore. 1987. Variation and evolution of breeding systems in the Turnera ulmifolia L. complex (Turneraceae). Evolution 41:340-354"
467,Belaousoff & Shore 1995,1995,Turneraceae,Turnera,ulmifolia angustifolia,Turnera  ulmifolia angustifolia,D,1,0,I,2,0,9,0.221,0.001,0.45,Table 2,,"auton,geit",0,,,,,"Belaoussoff, S., and J. S. Shore. 1995. Floral correlates and fitness consequences of mating system variation in Turnera ulmifolia. Evolution 49:545–556."
468,Ganders et al. 1977a,1977a,Valerianaceae,Plectritis,brachystemon,Plectritis  brachystemon,D,0,0,M,1,0,2,0.02,0.007,0.0333,Table 2,,,0,,,,,"Ganders FR, Carey K, AJF Griffiths. 1977a. Outcrossing rates in natural populations of Plectritis brachystemon (Valerianaceae). Can J Bot 55:2070-2074"
469,Ganders et al. 1977b,1977b,Valerianaceae,Plectritis,congesta,Plectritis  congesta,D,0,0,M,1,0,4,0.661,0.48,0.8,Table 4,,,0,,,,,"Ganders FR, Carey K, AJF Griffiths. 1977b. Natural selection for a fruit dimorphism in Plectritis congesta (Valerianaceae). Evolution 31:873-881"
470,Culley 2002,2002,Violaceae,Viola,pubescens,Viola  pubescens,D,1,0,I,3,0,1,0.4,,,Table 4,1,,1,0.28,,,Table 4,"Culley, T. M. 2002. Reproductive biology and delayed selfing in Viola pubescens (Violaceae), an understory herb with chasmogamous and cleistogamous flowers. International Journal of Plant Science 163:113–122."
